NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
287,21-04-2022,12:22:04,35.3432,45.6001,11.3,2.6,Namal  - Darbandihkan
288,21-04-2022,15:08:09,37.6334,47.241,15,3,West Azerbaijan - Iran
289,22-04-2022,5:17:52,35.2438,46.5259,11.8,2.3,Mariwan - Kurdistan Iran
290,22-04-2022,6:18:11,34.6099,45.383,15,2.6,Salah Agha - Kalar - Garmian
291,22-04-2022,11:30:13,35.4826,45.5084,11.3,2.5,Darbanila - Sulaimanyah 
292,22-04-2022,17:13:23,36.1847,45.0578,11,2.2,Qaladiza - Raparen
293,22-04-2022,23:23:50,35.4387,45.5337,10,1.9,Yakhimali - Darbandihkan - Sulaimanyah 
294,23-04-2022,15:34:09,34.5809,45.5524,11.9,2.6,Kermanshah - Iran
295,23-04-2022,21:25:40,34.5922,45.3938,15,2.8,Salah Agha - Kalar - Garmian
296,24-04-2022,8:53:35,35.489,45.5224,15,2.4,Darbanila - Sulaimanyah 
297,24-04-2022,16:36:11,33.1148,46.6316,10,3,Ilam - Iran
298,24-04-2022,17:59:07,35.9487,46.018,10,1.7,Surin - Kurdistan Iran
299,24-04-2022,19:28:18,34.4831,46.0096,10,2.3,Kermanshah - Iran
300,24-04-2022,21:24:29,34.5942,46.5263,8,2.3,Kermanshah - Iran
301,25-04-2022,0:10:18,35.4944,45.5373,15.9,2.7, Welayer - Darbanila - Sulaimanyah 
